episode,episode_reward,rolling_reward,rolling_win_rate
1,-0.8315000000000001,-0.8315000000000001,0.0
2,-0.6034999999999999,-0.7175,0.0
3,0.8650000000000001,-0.18999999999999997,0.3333333333333333
4,0.6025000000000001,0.008125000000000049,0.5
5,0.6775000000000001,0.14200000000000007,0.6
6,0.3400000000000001,0.17500000000000004,0.6666666666666666
7,-0.72,0.0471428571428572,0.5714285714285714
8,0.8650000000000001,0.14937500000000006,0.625
9,0.37750000000000006,0.1747222222222223,0.6666666666666666
10,0.6025000000000001,0.21750000000000008,0.7
11,-0.72,0.13227272727272735,0.6363636363636364
12,0.8650000000000001,0.19333333333333338,0.6666666666666666
13,-0.2025,0.16288461538461543,0.6153846153846154
14,-0.72,0.09982142857142863,0.5714285714285714
15,0.6025000000000001,0.1333333333333334,0.6
16,-0.72,0.08000000000000007,0.5625
17,-0.5,0.045882352941176534,0.5294117647058824
18,-0.72,0.0033333333333333917,0.5
19,0.11500000000000006,0.009210526315789532,0.5263157894736842
20,-0.72,-0.02724999999999994,0.5
21,-0.72,-0.06023809523809518,0.47619047619047616
22,0.6025000000000001,-0.0301136363636363,0.5
23,-0.5225,-0.05152173913043473,0.4782608695652174
24,-0.72,-0.07937499999999995,0.4583333333333333
25,0.3400000000000001,-0.06259999999999995,0.48
26,-0.72,-0.08788461538461532,0.46153846153846156
27,-0.31499999999999995,-0.09629629629629623,0.4444444444444444
28,0.6775000000000001,-0.06866071428571423,0.4642857142857143
29,0.9025,-0.035172413793103395,0.4827586206896552
30,-0.3375,-0.04524999999999994,0.4666666666666667
31,0.11500000000000006,-0.04008064516129027,0.4838709677419355
32,0.6683333333333334,-0.01794270833333328,0.5
33,0.6025000000000001,0.0008585858585859163,0.5151515151515151
34,0.5650000000000001,0.01745098039215692,0.5294117647058824
35,0.6775000000000001,0.03630952380952387,0.5428571428571428
36,-0.72,0.015300925925925983,0.5277777777777778
37,0.9025,0.039279279279279336,0.5405405405405406
38,0.6025000000000001,0.05410087719298251,0.5526315789473685
39,-0.72,0.034252136752136814,0.5384615384615384
40,0.5650000000000001,0.04752083333333339,0.55
41,0.5650000000000001,0.06014227642276428,0.5609756097560976
42,0.8650000000000001,0.07930555555555562,0.5714285714285714
43,0.6775000000000001,0.09321705426356594,0.5813953488372093
44,0.5650000000000001,0.103939393939394,0.5909090909090909
45,-0.72,0.0856296296296297,0.5777777777777777
46,0.6025000000000001,0.09686594202898557,0.5869565217391305
47,0.6025000000000001,0.10762411347517736,0.5957446808510638
48,0.37750000000000006,0.11324652777777784,0.6041666666666666
49,0.6025000000000001,0.12323129251700687,0.6122448979591837
50,0.9025,0.13881666666666673,0.62
51,0.5650000000000001,0.16674666666666674,0.64
52,0.8650000000000001,0.19611666666666672,0.66
53,0.6025000000000001,0.19086666666666674,0.66
54,-0.2025,0.17476666666666674,0.64
55,-0.72,0.14681666666666673,0.62
56,0.6025000000000001,0.1520666666666667,0.62
57,0.6025000000000001,0.17851666666666674,0.64
58,-0.3375,0.15446666666666672,0.62
59,-0.72,0.13251666666666673,0.6
60,0.3400000000000001,0.12726666666666675,0.6
61,0.535,0.15236666666666673,0.62
62,0.6025000000000001,0.14711666666666673,0.62
63,0.11500000000000006,0.15346666666666672,0.64
64,0.3400000000000001,0.17466666666666672,0.66
65,0.85,0.17961666666666673,0.66
66,-0.72,0.17961666666666673,0.66
67,0.6025000000000001,0.20166666666666672,0.68
68,0.8650000000000001,0.23336666666666672,0.7
69,0.3400000000000001,0.23786666666666673,0.7
70,-0.72,0.23786666666666673,0.7
71,-0.8575,0.23511666666666675,0.7
72,0.6025000000000001,0.23511666666666675,0.7
73,-0.6191666666666668,0.23318333333333338,0.7
74,0.9025,0.2656333333333334,0.72
75,-0.72,0.2444333333333334,0.7
76,-0.72,0.2444333333333334,0.7
77,0.8650000000000001,0.2680333333333334,0.72
78,0.4275000000000001,0.2630333333333334,0.72
79,-0.31499999999999995,0.2386833333333334,0.7
80,-0.72,0.2310333333333334,0.7
81,0.8650000000000001,0.24603333333333338,0.7
82,0.6025000000000001,0.24471666666666675,0.7
83,0.3400000000000001,0.23946666666666672,0.7
84,-0.3375,0.22141666666666673,0.68
85,-0.3341666666666666,0.20118333333333338,0.66
86,0.3400000000000001,0.2223833333333334,0.68
87,0.5650000000000001,0.2156333333333334,0.68
88,0.5650000000000001,0.2148833333333334,0.68
89,0.9025,0.24733333333333338,0.7
90,0.85,0.2530333333333334,0.7
91,-0.72,0.2273333333333334,0.68
92,-1.532,0.17939333333333338,0.66
93,-0.72,0.1514433333333334,0.64
94,0.7066666666666667,0.15427666666666673,0.64
95,0.9025,0.1867266666666667,0.66
96,-0.3375,0.16792666666666672,0.64
97,-0.72,0.14147666666666672,0.62
98,0.8650000000000001,0.1512266666666667,0.62
99,-0.72,0.12477666666666672,0.6
100,0.61,0.11892666666666671,0.6
101,0.3400000000000001,0.11442666666666672,0.6
102,0.9025,0.1151766666666667,0.6
103,0.4975,0.11307666666666671,0.6
104,0.9025,0.1351766666666667,0.62
105,0.5650000000000001,0.1608766666666667,0.64
106,-0.72,0.13442666666666672,0.62
107,0.5650000000000001,0.1336766666666667,0.62
108,0.6025000000000001,0.1524766666666667,0.64
109,0.37750000000000006,0.1744266666666667,0.66
110,0.8650000000000001,0.1849266666666667,0.66
111,0.3400000000000001,0.18102666666666672,0.66
112,-0.72,0.1545766666666667,0.64
113,0.5650000000000001,0.1635766666666667,0.64
114,-0.72,0.1423766666666667,0.62
115,0.6025000000000001,0.1374266666666667,0.62
116,-0.72,0.1374266666666667,0.62
117,0.37750000000000006,0.13292666666666672,0.62
118,-0.48416666666666663,0.10594333333333336,0.6
119,-0.72,0.08474333333333338,0.58
120,0.37750000000000006,0.10669333333333338,0.6
121,-0.8575,0.10669333333333338,0.6
122,0.9025,0.11269333333333337,0.6
123,0.6025000000000001,0.1371266666666667,0.62
124,0.6025000000000001,0.13112666666666672,0.62
125,-0.18000000000000005,0.1419266666666667,0.62
126,-0.72,0.1419266666666667,0.62
127,-0.72,0.11022666666666671,0.6
128,0.5650000000000001,0.1129766666666667,0.6
129,0.85,0.1362766666666667,0.62
130,-0.72,0.1362766666666667,0.62
131,0.5650000000000001,0.1302766666666667,0.62
132,-0.72,0.1038266666666667,0.6
133,0.11500000000000006,0.0993266666666667,0.6
134,-0.72,0.09167666666666671,0.6
135,-0.72,0.08396000000000005,0.6
136,0.4975,0.08711000000000003,0.6
137,0.37750000000000006,0.08336000000000005,0.6
138,0.37750000000000006,0.07961000000000003,0.6
139,-0.72,0.047160000000000035,0.58
140,-0.72,0.015760000000000038,0.56
141,-0.72,0.015760000000000038,0.56
142,0.37750000000000006,0.05395000000000004,0.58
143,-0.72,0.05395000000000004,0.58
144,-0.2025,0.035766666666666704,0.56
145,-0.36,0.010516666666666705,0.54
146,0.9025,0.035316666666666705,0.56
147,-0.72,0.035316666666666705,0.56
148,0.6025000000000001,0.030066666666666703,0.56
149,0.3400000000000001,0.0512666666666667,0.58
150,-0.72,0.024666666666666708,0.56
151,-0.3375,0.011116666666666705,0.54
152,-0.72,-0.021333333333333294,0.52
153,0.3400000000000001,-0.02448333333333329,0.52
154,0.3400000000000001,-0.03573333333333329,0.52
155,0.6025000000000001,-0.03498333333333328,0.52
156,0.64,-0.007783333333333289,0.54
157,0.3400000000000001,-0.012283333333333289,0.54
158,0.37750000000000006,-0.01678333333333329,0.54
159,0.6025000000000001,-0.012283333333333289,0.54
160,0.85,-0.01258333333333329,0.54
161,0.64,-0.006583333333333292,0.54
162,0.3400000000000001,0.014616666666666708,0.56
163,-0.72,-0.011083333333333292,0.54
164,-0.72,-0.011083333333333292,0.54
165,0.9025,-0.005083333333333296,0.54
166,0.5425,0.020166666666666708,0.56
167,0.8650000000000001,0.029916666666666706,0.56
168,0.37750000000000006,0.047150000000000046,0.58
169,0.8650000000000001,0.07885000000000005,0.6
170,-0.72,0.05690000000000004,0.58
171,-0.72,0.05965000000000004,0.58
172,0.3400000000000001,0.04840000000000004,0.58
173,-0.72,0.021950000000000042,0.56
174,0.37750000000000006,0.01745000000000004,0.56
175,0.37750000000000006,0.028600000000000042,0.58
176,0.5650000000000001,0.05430000000000004,0.6
177,0.9025,0.08675000000000005,0.62
